Lat,Lon,Alti
23.7808,114.2483,85.5
19.6672,110.3378,53.3
22.2667,109.55,69.6
23.75,117.1333,37.8
29.2167,115.8333,11.6
27.55,119.7,538.9
26.5833,118.7333,361.5
24.7322,112.2778,174.3
28.8667,121.1833,6.6
29.5833,106.2167,331.5
24.2667,106.2667,278.2
24.0536,105.0519,1249.6
28.5833,103.95,496.6
27.4486,112.1733,100.0
26.4278,112.8294,135.0
27.7328,106.9494,983.5
21.4058,110.81,27.3
29.7,120.25,39.1
23.2833,107.5667,146.4
29.3333,106.5,506.1
26.5,107.5833,983.8
25.2731,112.5464,292.0
24.1333,102.75,1801.8
27.1,119.65,50.5
27.8333,114.8833,189.3
26.6,107.9833,720.3
24.2333,109.2833,133.7
29.9833,103.0,627.6
20.0,110.3667,9.9
22.1167,107.0333,168.4
23.7106,113.085,79.2
23.4497,115.8492,80.9
25.9814,107.8733,447.8
29.8764,103.3581,571.2
26.8892,112.5958,104.9
29.8122,113.4422,24.7
26.4833,116.0167,209.1
27.75,112.5061,86.9
26.75,114.2833,253.0
26.4022,103.2486,2188.3
25.0833,104.9,1299.6
24.9833,107.55,749.5
27.4667,106.2333,942.0
22.7372,112.9811,47.3
29.1833,104.9833,306.2
23.4833,111.3,114.8
29.8839,110.0253,539.8
23.7667,109.15,96.7
28.0833,121.2667,95.9
23.1667,107.7,125.7
29.3517,112.4317,40.3
25.6667,114.7333,127.0
29.7333,107.2667,372.8
23.3353,113.8275,30.7
28.2333,115.8167,27.0
26.9167,118.9833,869.5
25.05,116.4167,198.0
27.5833,115.35,104.5
27.7167,102.8,2460.0
26.6306,106.7583,1103.5
29.1667,107.1167,698.8
26.6333,118.1667,152.2
26.4022,111.2886,169.0
25.7833,109.6,197.3
24.4833,108.65,185.1
26.4778,113.7919,268.8
28.7119,105.0603,420.9
25.4333,105.1833,1378.5
28.1,114.4333,122.5
26.7333,108.4333,527.2
27.2375,108.9181,394.8
28.9,118.5,137.0
28.5061,112.1711,136.9
28.3331,106.2164,1180.2001
24.5,105.0833,827.1
23.9114,115.7514,135.9
28.8792,107.6,685.6
29.6667,104.0667,404.4
29.5167,104.6667,351.1
29.35,115.7333,80.6
29.8333,103.8667,455.2
24.8819,104.3231,1482.7001
22.2658,112.2306,69.3
27.7167,117.0667,225.1
28.3303,105.2589,367.0
29.8,121.5,6.2
22.9836,116.3014,42.0
26.7944,112.1047,151.6
22.1667,111.7833,37.7
27.6908,112.0011,205.8
25.3328,118.2722,183.8
21.6331,110.3033,29.3
29.8933,116.5447,99.1
26.0833,119.3333,25.6
25.1167,105.4833,1394.5
22.9619,113.3628,66.6
29.5833,106.4667,259.1
29.8167,119.6833,46.1
25.05,117.0167,376.0
29.1167,121.3833,34.5
26.2333,109.1333,568.8
24.3886,114.4958,283.9
29.5667,115.9833,1164.5
27.9,116.2667,73.7
23.4403,104.6833,1507.5
24.1833,110.8,105.8
28.6833,116.6833,21.1
26.2258,111.6167,172.6
22.2472,112.7858,33.1
29.6675,111.7258,38.1
27.3731,102.5478,1530.7001
28.55,102.1667,1774.0
24.6667,113.6,121.3
23.7167,108.1167,219.0
28.7872,105.3928,368.8
27.9167,110.6,204.0
26.4956,111.6161,192.8
25.15,115.4,305.0
27.8756,112.8275,63.8
20.2428,110.165,11.4
25.7,117.8333,400.1
25.5167,118.2333,645.6
26.1433,106.6581,991.6
24.4667,109.3833,97.5
25.0078,102.6531,1888.1
26.4544,106.9792,1093.1
25.4103,107.8803,429.9
29.1183,110.4172,218.5
24.4167,111.5,148.7
24.9833,110.0,156.8
24.7844,113.2867,131.1
28.5833,115.9,47.2
29.3,117.2,61.5
23.3917,111.5047,83.6
27.05,108.4167,516.3
23.0,102.4167,1642.8
28.85,104.9667,292.8
29.6108,114.4578,99.9
26.9167,120.2333,92.2
19.2089,110.4819,23.3
19.1,108.6167,7.6
25.0806,114.255,149.7
28.6167,121.4167,4.6
29.05,120.4333,304.5
28.1333,120.2833,57.8
25.85,116.3667,310.0
25.0167,117.5333,166.5
28.4667,110.4,151.6
22.2292,113.2969,23.1
24.8,118.55,135.0
26.7947,113.5478,136.2
29.2833,106.25,261.4
24.7333,116.7167,226.9
28.4667,117.9,121.3
25.3667,118.7,77.7
28.0667,120.9667,60.8
27.8689,113.1736,74.6
27.7772,107.5081,807.6
25.7353,112.9739,368.8
22.6667,110.1167,121.6
28.7283,112.9253,63.0
25.9333,111.0667,195.6
25.6725,119.3792,75.0
28.2544,112.555,74.7
22.6833,108.45,106.9
26.5883,107.2489,1056.2001
28.0333,120.65,28.3
23.6794,116.9861,44.7
23.5686,113.6156,38.1
29.9167,113.9667,61.7
25.4058,112.9406,222.8
27.0253,110.6064,339.5
19.6167,110.75,21.7
23.6325,105.6286,685.8
27.1314,105.5989,1721.5
24.19,102.9094,1702.6
29.7667,104.85,369.4
25.7667,106.0833,1197.6
24.6808,102.5742,1979.2001
26.3228,107.5139,967.7
26.4603,110.8344,346.1
27.2975,105.2886,1510.6
24.5,109.7833,131.5
28.3333,103.1333,1943.9
29.85,106.0667,326.3
24.0167,108.65,147.5
24.5625,115.8706,200.8
23.3833,108.6167,140.3
23.0261,114.6683,85.0
26.3333,114.5167,126.1
23.2597,111.5431,70.6
26.6833,105.7667,1319.3
23.2286,102.8214,312.3
27.0858,106.9075,1298.9
21.6667,109.1833,5.5
29.5647,103.7553,424.2
26.15,118.15,204.8
27.9167,116.7833,130.2
27.4167,102.1833,1380.0
24.5167,117.3833,53.7
25.8,110.0,268.0
18.55,110.0333,35.2
26.0797,113.9447,835.9
28.8167,108.7667,826.5
22.3333,106.85,128.8
28.65,102.5167,1659.5
29.6,120.8167,104.3
24.8333,110.8167,169.6
24.55,107.0333,509.4
27.1833,111.45,311.0
24.7,108.0333,260.2
24.4,103.45,1415.5
28.4167,117.6,79.0
26.5,119.55,78.5
27.0308,108.1217,547.3
24.1333,117.5833,61.1
27.3681,109.1636,355.5
26.15,119.15,57.8
26.2,107.8,963.2
19.5167,109.5833,169.0
28.7689,104.6053,502.8
25.9333,108.5167,285.7
29.1333,118.4,153.6
23.4308,116.8361,4.1
24.5,117.65,28.9
24.1333,107.25,254.9
24.8108,112.3708,131.7
24.9,118.9167,21.8
25.4,114.35,215.6
25.55,102.45,1750.9
25.0833,110.3167,151.3
29.3167,121.4333,39.3
26.2167,105.4631,1407.3
